x,y
0.171164,-0.082746
0.221068,-0.100322
0.250921,-0.081712
0.159580,-0.047593
0.207701,-0.026915
0.222850,-0.005203
0.316865,-0.041390
0.216612,-0.116865
0.227751,-0.018127
0.403750,-0.124102
0.166709,-0.107560
0.122152,-0.080161
0.333351,-0.250238
0.286121,-0.001068
0.589997,0.032017
0.448307,-0.297281
0.151559,-0.245069
0.207701,-0.034670
0.382363,-0.063102
0.241564,-0.095153
0.328895,-0.132373
0.284338,-0.174763
0.194779,-0.181484
0.280774,-0.152018
0.291467,-0.089983
0.260278,-0.119967
0.128836,-0.214052
0.169382,-0.183035
0.099874,-0.078610
0.107894,-0.117899
0.073140,-0.099289
0.066456,-0.108077
0.146213,-0.191306
0.162699,-0.129789
0.095418,-0.192340
0.068684,-0.172696
0.029474,-0.122034
0.115469,-0.054314
0.032148,-0.153051
0.037494,-0.062585
0.049970,-0.140645
0.086507,-0.210950
0.135965,-0.126687
0.098091,-0.073441
0.090071,-0.057415
0.096309,-0.146848
0.075813,-0.067755
0.160471,-0.095153
0.148440,0.079060
0.169382,0.152984
0.102547,0.195374
0.146213,0.089916
0.506230,-0.158221
0.301715,-0.822503
0.133737,-3.191689
0.494200,-4.353795
1.243197,-3.801691
0.877387,-1.830040
0.789611,-0.520087
-0.015974,1.325945
-1.427528,2.809078
-1.412379,2.545433
-1.086670,2.246118
-0.491839,2.035719
0.187205,1.280454
0.213048,0.035119
-0.325642,-0.303484
-0.076571,-0.126170
-1.210983,-0.247653
-3.682986,-0.296764
-4.899383,0.026848
-5.462133,0.396467
-3.012854,0.007203
-1.655658,1.813430
1.079229,8.674145
5.062594,-0.977071
3.526280,-1.373056
2.501477,-0.719113
2.627127,0.340120
1.551084,0.093017
0.220177,0.055797
-0.614815,0.377340
-0.316731,0.184001
-0.794824,-0.043458
-0.187071,-0.005720
-0.375100,0.066136
-0.727989,0.056831
-0.472234,0.149882
-0.327425,0.090432
-0.338564,0.040288
-0.291334,0.003068
-0.172813,0.010822
-0.460649,0.302899
-0.074788,0.313238
-0.318959,0.116797
-0.564020,0.164873
-0.397379,0.029949
-0.307374,-0.003653
-0.304701,-0.071373
-0.395596,0.018059
-0.308265,0.109560
-0.081026,-0.027949
-0.234301,0.024263
-0.368862,0.147814
-0.343465,0.181416
-0.272620,0.026848
-0.293562,0.029432
-0.303810,0.085780
-0.156773,-0.029500
-0.228954,-0.044492
-0.319850,0.076475
-0.109988,0.064585
-0.119345,0.133339
-0.247668,0.058898
-0.261035,0.104390
-0.265491,0.134373
-0.184398,0.084746
-0.157664,0.059932
-0.179942,0.068204
-0.128702,0.132306
-0.074788,0.028915
-0.120236,0.022712
-0.221825,0.101288
-0.124692,0.013407
-0.060530,-0.009856
-0.176378,0.025814
-0.077907,-0.001585
-0.104196,-0.064136
-0.062758,-0.116865
-0.045381,-0.040356
-0.281531,0.016509
-0.136722,-0.049661
-0.072115,-0.064136
-0.064986,-0.004686
-0.113107,0.010305
-0.095284,0.009271
0.066902,-0.135475
-0.019538,-0.077060
0.147995,-0.101356
-0.013300,-0.138577
-0.055183,-0.148916
0.067793,-0.104458
0.127053,-0.079644
0.213048,-0.091017
0.328895,-0.046043
0.595344,-0.117899
1.191957,-0.423934
1.147846,-0.041390
0.831048,0.243450
0.958035,0.127136
1.101507,0.005136
0.833276,0.024780
0.657723,0.060966
0.129281,-0.104975
-0.110434,-0.239899
-0.274848,-0.160289
-0.545307,-0.385679
-0.197319,-0.439959
0.041950,-0.427035
0.401522,-0.340705
