x,y
0.547220,0.122904
0.446715,0.263567
0.521776,0.230159
0.552309,-0.038858
0.676986,0.098288
0.572665,0.033232
0.524320,0.152795
0.657903,0.093013
0.380560,0.066639
0.585387,0.089497
0.724058,0.133454
0.601926,0.068397
0.636275,-0.044133
0.454348,-0.021275
0.533226,0.085980
0.584115,0.240709
0.572665,-0.000176
0.477248,0.122904
0.495059,0.070155
0.603198,0.203785
0.365293,0.177411
0.406004,0.114113
0.408549,0.033232
0.973413,-0.153146
0.291505,-0.107431
0.540859,0.163344
0.643273,-0.016000
0.581570,0.022682
0.596837,-0.139080
0.526865,-0.028308
0.400915,-0.132047
0.403460,-0.158421
0.534498,-0.137322
0.589203,-0.151388
0.272421,-0.186554
0.380560,-0.082815
0.609559,-0.112706
0.407276,-0.190070
0.478521,-0.371173
0.540859,-0.246335
0.455621,-0.065232
0.310588,-0.107431
0.324582,0.012132
0.355116,-0.005451
0.325855,0.078947
0.444171,-0.070507
0.386921,-0.139080
0.327127,-0.000176
0.230438,-0.114464
0.375471,-0.016000
0.426360,0.012132
0.342393,-0.156663
0.259699,0.059606
0.404096,0.161586
0.338577,0.017407
0.407276,0.291699
0.347482,0.152795
0.428904,0.114113
0.389465,0.049056
0.367838,-0.005451
0.449260,0.066639
0.503965,0.073672
0.342393,-0.012484
0.472159,0.228401
0.412365,0.289941
0.290232,0.356756
0.295321,0.413021
0.243160,0.205543
0.347482,0.098288
0.469615,-0.325458
0.572665,-1.783074
0.145200,-3.894772
0.135022,-5.916796
1.161701,-5.869323
1.694760,-2.198029
2.070064,-0.471396
0.248249,2.118555
-0.474370,4.414871
-1.803837,4.274209
-1.387186,3.268471
-1.016334,2.086905
-1.769487,0.114113
-0.912013,0.279391
-2.572256,0.546650
-4.289749,-0.293809
-4.447503,-0.279743
-3.727429,-0.330733
-2.509917,0.594124
-0.438748,0.859624
1.274928,0.958088
4.045817,0.008616
2.199830,-0.267435
3.605630,-0.689423
1.926303,0.205543
1.352534,-0.026550
0.931430,-0.467879
0.288960,0.209060
-0.058355,0.325106
-0.576147,0.404229
-1.095212,0.453461
-0.446381,0.606432
-0.394220,0.244225
-0.812780,0.253017
-0.529075,0.186202
-0.518898,0.300490
-0.475642,0.261808
-0.612405,0.336535
-0.417120,0.393679
-0.532892,0.226643
-0.560881,0.166861
-0.592686,0.386646
-0.885296,0.393679
-0.646119,0.075430
-0.244099,0.040265
0.183366,-0.177762
-0.280993,-0.146113
-0.316615,-0.095123
-0.068533,-0.132047
-0.419665,-0.077540
-0.386587,-0.327216
-0.485820,-0.137322
-0.401854,-0.265676
-0.457831,-0.100398
-0.372593,-0.119739
-0.392948,-0.149630
-0.288626,0.005099
-0.377681,-0.040616
-0.139777,-0.044133
-0.186849,-0.117981
-0.372593,-0.239302
-0.362415,-0.445021
-0.470553,-0.522386
-0.607953,-0.381723
0.027520,-0.329854
-0.041816,0.047298
0.253338,0.068397
-0.190666,0.671488
-1.045595,0.520276
-0.741536,-0.044133
-0.529075,0.214335
-0.588869,-0.021275
-0.573603,-0.255127
-0.550703,-0.265676
-0.699552,-0.225236
-0.752985,-0.037100
-0.333154,-0.188312
-0.120694,-0.165454
-0.124510,-0.277984
-0.364959,-0.003692
-0.499814,0.158070
-0.371320,-0.074024
-0.602864,-0.100398
-0.698280,-0.042375
-0.613042,-0.119739
-0.663930,-0.119739
-0.983257,0.314557
-0.737719,0.077189
-0.361143,-0.379965
-0.452742,-0.494253
-0.511900,0.151036
