x,y
0.244148,-0.452579
0.140071,-0.415220
0.308577,-0.347094
-0.097820,-0.300943
-0.524042,-0.259189
0.373006,-0.419615
0.501864,-0.437196
0.452303,-0.542682
0.541512,-0.602017
0.576205,-0.254793
0.705063,-0.481148
0.566293,-0.441591
0.204500,-0.188865
-0.201898,0.136383
0.729843,-0.004265
0.288753,-0.188865
0.422567,0.017711
0.209456,0.180335
0.600985,0.490200
0.566293,1.017629
1.047031,1.314307
0.040950,1.865910
-0.206854,2.184565
-0.692549,2.105451
-0.633076,2.560358
-1.743235,2.933953
-0.266327,3.010870
-1.086556,2.709796
-0.137469,1.063779
-1.396310,0.749519
-0.484394,0.887969
-1.901829,1.676915
0.254060,0.973676
-0.211810,-1.032751
-1.549949,-0.445986
0.308577,-1.861254
-0.875923,0.272635
0.189632,-0.503125
0.026081,-0.917376
-0.771846,0.079245
-1.673850,1.854922
0.680282,1.837341
-1.693675,3.096577
2.598281,0.301204
-0.590949,-3.372118
7.509745,-2.146944
4.650093,-0.984403
1.136241,-0.850349
-0.434833,-2.830404
1.396434,-1.841475
-0.370404,-0.448184
-0.464569,-0.265782
-1.113814,-0.511915
-1.396310,-0.703108
-1.708543,-0.621796
-1.245150,-1.543698
-0.385272,-0.823977
0.234236,-0.129529
0.209456,0.892364
0.070686,0.534152
-0.310931,0.606674
-1.416135,0.127592
-0.390228,0.501188
-0.623164,1.193438
-0.479438,1.729658
-1.426047,2.720784
-2.974818,2.999882
-2.323095,1.463746
-0.836275,2.019743
-0.543867,2.479046
-0.821406,1.872503
0.608419,0.414382
2.276136,-0.793210
1.958948,-0.586634
0.154939,-0.193260
-0.196942,-0.206446
0.006257,0.178138
0.412655,-0.035031
-0.182074,-0.318524
-0.157293,-0.004265
0.462215,-0.270177
0.189632,-0.285560
-0.100298,-0.193260
0.204500,-0.329513
0.244148,-0.336105
0.234236,-0.184470
0.224324,-0.182272
0.219368,-0.349291
-0.159771,-0.092170
-0.087908,-0.364674
-0.211810,-0.210841
-0.206854,-0.360279
0.417611,-0.353686
0.048384,-0.260288
0.194588,-0.331710
-0.305975,-0.349291
0.308577,-0.441591
0.501864,-0.634982
-0.053216,-0.316327
0.043428,-0.230620
-0.077996,-0.320722
-0.206854,-0.358082
0.229280,-0.393244
0.080598,-0.274572
0.353182,-0.424010
0.011213,-0.206446
0.392830,-0.265782
-0.053216,-0.500927
-0.191986,-0.408627
0.130159,-0.226224
0.003779,-0.378959
0.308577,-0.540484
0.016169,-0.267979
-0.464569,-0.133924
-0.152337,-0.322920
-0.053216,-0.454777
-0.251459,-0.270177
0.254060,-0.375663
0.392830,-0.399836
0.665414,-0.424010
0.794272,-0.454777
-0.452179,-0.211940
-0.216766,-0.063601
0.382918,-0.300943
-0.117645,-0.377860
-0.092864,-0.434998
-0.424921,-0.285560
0.035993,-0.292153
-0.013567,-0.232817
0.110334,-0.489939
0.977646,-0.413022
0.085554,-0.199853
-0.125079,-0.221829
-0.196942,-0.366872
-0.097820,-0.498729
-0.365448,-0.111948
-0.087908,-0.160296
0.211934,-0.460271
-0.082952,-0.265782
-0.008611,-0.226224
-0.102776,-0.338303
0.085554,-0.434998
0.189632,-0.487741
-0.187030,0.107814
-0.102776,-0.155901
-0.241546,-0.252596
-0.043304,-0.105355
0.045906,-0.355884
-0.038348,-0.348192
-0.251459,-0.175679
-0.355536,-0.246003
0.179719,-0.364674
0.174763,-0.300943
0.140071,-0.281165
-0.234112,-0.206446
0.556381,-0.276770
0.303621,-0.413022
-0.251459,-0.096565
-0.271283,0.090233
-0.125079,-0.010858
