x,y
-0.405031,-0.656128
-0.389955,-0.547131
-1.080920,-0.306128
-1.148760,-0.333983
-0.741719,-0.149900
-0.736694,-0.434502
-0.616089,-0.980695
-0.349754,-1.150245
-0.382417,-0.664605
-0.123620,-0.636751
-0.219099,-0.588308
-1.143734,-0.410280
-0.977903,-0.515644
-0.568350,-0.859588
-0.289451,-0.927408
-0.003015,-0.840211
-0.676391,-0.568931
-0.264325,-0.501111
-0.405031,0.063248
-0.857298,0.634874
-2.153799,1.235565
-2.118622,2.185044
-1.616103,3.095769
-0.877399,3.587464
-1.460322,3.466357
-1.113583,2.807535
-0.369854,2.228643
0.489454,0.935219
3.147782,-1.329483
2.419129,-2.421869
0.238194,-0.929830
-5.671436,-0.106302
-4.189003,-1.012183
1.253284,-1.765469
1.127654,0.131068
-1.161323,1.137468
-0.128645,-0.396959
0.022111,-1.101802
3.145270,-1.795745
0.911570,-0.527754
0.142716,-0.183810
0.391463,-0.520488
2.348776,-1.261663
1.253284,-0.539865
2.127668,-1.742458
2.564860,-2.199032
0.253270,-2.062181
-0.359804,-2.337094
0.409051,-1.651628
0.723126,0.247331
-0.927651,1.409959
-0.912575,0.596119
-1.859825,0.649406
-0.611064,2.310996
0.057287,1.700616
0.584933,2.761514
-1.400019,2.570165
-2.101034,2.354594
-1.158810,2.744559
-0.309552,2.296463
0.831167,1.918609
1.363838,1.066015
-0.183922,1.436602
1.343737,0.787468
1.037200,0.395082
1.966862,-0.404225
0.823630,-0.084502
-0.078393,0.068092
0.600008,0.006328
1.102528,-0.438135
0.509555,-0.263741
-0.276888,0.367227
-0.183922,0.160134
0.087438,-0.198343
0.524630,-0.286751
0.157791,-0.215298
0.213068,-0.195921
0.079901,0.006328
0.348749,-0.263741
0.383925,-0.136579
0.353774,-0.295229
0.142716,-0.266163
0.270858,-0.132945
0.826142,-0.149900
0.956797,-0.382426
0.341211,-0.221353
-0.158796,-0.132945
-0.796996,0.458057
-0.309552,0.117746
0.479404,-0.438135
0.102514,-0.411492
0.285934,-0.200765
0.012060,-0.220142
0.147741,-0.139001
0.489454,-0.079658
0.519605,-0.217720
-0.075880,-0.267374
-0.183922,-0.028793
0.258295,-0.205610
0.818604,-0.336405
0.127640,-0.050592
-0.359804,-0.050592
-0.209048,-0.160800
0.177892,-0.532599
0.125127,-0.376371
0.157791,0.065670
0.072363,0.225532
-0.286939,0.131068
-0.018091,-0.145056
0.358799,-0.275852
0.574882,-0.220142
-0.028141,-0.149900
0.047237,-0.285540
0.112564,-0.177755
0.273371,-0.154745
0.042212,-0.272218
0.323623,-0.285540
0.529656,0.169822
-0.070855,0.192833
-0.028141,-0.174122
0.107539,-0.200765
0.318597,-0.241942
0.228144,-0.086925
-0.038191,-0.084502
-0.163821,-0.112357
0.524630,-0.217720
0.052262,-0.073603
-0.204023,0.031760
0.203018,0.085047
0.441715,-0.178966
-0.339703,0.271552
-0.093469,-0.031215
0.419101,-0.330350
-0.008040,0.186777
0.012060,-0.038482
-0.093469,-0.261319
-0.028141,-0.382426
-0.193973,0.168611
-0.384930,-0.164433
0.695487,-0.258897
0.150253,-0.031215
0.243219,-0.157167
0.383925,-0.096613
0.195480,-0.142634
0.192968,0.087470
0.228144,-0.038482
-0.196485,0.024494
-0.329653,0.053560
0.112564,-0.223776
-0.349754,-0.067547
0.213068,-0.164433
-0.033166,-0.026371
-0.394980,-0.115990
-0.254275,-0.195921
0.195480,-0.224987
-0.033166,-0.304917
-0.651265,0.026916
-0.372367,-0.078447
0.444227,-0.147478
0.017086,-0.096613
