x,y
-0.863828,-0.150877
-0.731110,-0.320446
-0.406899,-0.294894
-0.480842,-0.334383
-0.628727,-0.357611
-0.784197,-0.211271
-0.590808,-0.177590
-0.803157,-0.181074
-0.744381,-0.157846
-0.689398,-0.359934
-0.469466,-0.271666
-0.564264,-0.297217
-0.670439,-0.392454
-0.293141,-0.514404
-0.313996,-0.517889
-0.659063,-0.315800
-0.674231,-0.329737
-0.503593,-0.312316
-0.621143,-0.415683
-0.501697,-0.447042
-0.533929,-0.506274
-0.678023,-0.362257
-0.367083,-0.371549
-0.029601,-0.376194
-0.410691,0.103476
-1.254397,1.073270
-1.087552,1.521582
-0.837284,2.181274
-1.468642,3.161521
-1.152015,3.867670
-2.217550,4.415865
-0.374667,4.048853
0.565734,2.750374
1.214155,0.939706
1.051102,0.290466
1.856889,-2.279778
0.550566,-3.584063
-0.204030,-3.912748
-0.602184,-2.617754
-0.332956,-2.935985
-0.719734,-3.637489
-1.542585,-2.912757
-0.670439,-1.217069
-1.155807,-0.116034
-0.435338,-0.074223
0.345801,0.007077
3.015327,0.336923
3.629621,0.752715
4.568126,0.261431
3.561366,-0.181074
3.011535,-0.469109
2.590629,-0.428459
2.310026,-0.222886
1.686252,0.418224
-1.280941,0.508815
-0.626831,-0.111388
-0.196446,1.003584
-0.262805,0.201036
-1.902819,0.515784
-2.103792,0.571532
-2.850804,0.413578
-2.926643,0.146449
-2.179631,0.563402
-1.671511,0.172000
-1.127367,-0.133456
-0.643895,-0.508597
-0.903643,-0.195011
-0.693190,0.664447
0.520230,0.417062
-0.234366,-0.006860
-0.370875,-0.283280
0.372345,0.029145
1.214155,0.381058
0.654844,0.504169
-0.067520,0.388026
0.360969,-0.077707
0.876673,0.318341
0.516438,0.314856
0.315466,0.378735
0.698452,0.174323
0.709827,-0.099774
0.429224,0.539012
0.334425,0.001270
-0.113024,0.048889
0.241523,0.099992
-0.094064,0.260269
0.548670,-0.045187
0.141036,-0.004537
-0.075104,0.082570
0.232043,0.023337
0.478519,0.093023
0.527814,0.004755
0.304090,0.079086
0.040550,0.097669
0.288922,0.113929
0.639677,0.166193
0.296506,0.041920
0.220667,-0.104420
0.031070,-0.129971
0.048134,0.354345
0.122077,0.144126
0.345801,-0.044025
0.590381,-0.131133
0.577110,-0.062608
0.057614,0.080248
0.068990,0.202198
0.334425,-0.020797
0.156204,0.167355
0.383721,0.161548
0.000735,-0.069577
-0.154735,-0.178751
0.260483,0.096508
0.398888,-0.057963
-0.048561,0.001270
-0.048561,-0.236823
-0.116815,0.016369
0.254795,0.218458
0.482311,0.154579
0.323050,-0.095128
-0.120607,-0.171783
0.201707,-0.092805
0.330633,-0.020797
0.156204,-0.088160
0.122077,-0.125326
-0.067520,0.086055
0.220667,-0.006860
0.159996,-0.055640
-0.113024,0.111606
0.070886,0.233556
-0.044769,-0.016151
0.338217,-0.071900
-0.054248,-0.228693
-0.169903,-0.034734
0.199812,-0.167137
0.269962,-0.192688
-0.029601,0.046566
-0.120607,-0.113711
0.097429,0.070956
-0.029601,-0.067254
0.317362,0.044243
-0.082688,-0.085837
-0.006849,-0.060285
0.442496,-0.114873
0.031070,0.297435
0.095533,0.016369
0.448184,-0.090483
-0.010641,-0.002214
-0.109232,0.074440
0.258587,-0.155523
-0.154735,-0.118357
-0.006849,-0.083514
0.116389,-0.080030
0.072782,-0.153200
-0.046665,0.008239
-0.086480,0.090700
0.012111,0.027983
0.137245,-0.401746
0.108805,-0.009183
0.080365,-0.018474
0.372345,-0.163653
