x,y
-0.640308,-0.344084
-0.841976,-0.176254
-0.100456,-0.214215
-0.146995,-0.338090
-0.539473,-0.203226
-0.451049,-0.308121
-0.719424,-0.095335
-0.475870,-0.216213
-0.322292,-0.406022
-0.683744,-0.420008
-0.433985,-0.514912
-0.848182,0.359207
-0.399857,-0.159271
-0.199739,-0.368060
-0.741142,-0.220209
-1.142928,0.812749
-0.187329,0.624939
-0.719424,0.989571
-1.071568,2.231319
-2.705084,4.143391
-3.454361,5.208317
-1.969770,4.690839
0.569704,2.656890
1.708357,-0.033398
1.249173,-2.719689
1.047504,-3.246158
1.357763,-4.032365
0.752757,-4.494899
-0.990901,-2.310102
-1.549368,-0.698727
-1.425264,0.269297
-1.082427,0.314252
-0.677539,0.167400
-0.761309,0.425140
0.706218,0.240326
3.175884,0.047521
4.354870,-0.708717
3.107627,0.533031
2.909061,-0.226203
-0.255586,-2.623786
0.003481,0.527037
-4.682989,1.841712
-4.822605,0.521043
0.383549,0.604959
-2.151271,-0.365063
-1.204980,0.101466
0.831874,0.033535
0.029853,-1.185236
1.035093,-0.803621
1.221249,0.107460
-0.388998,0.183384
0.450254,0.353213
1.298814,-0.609816
0.403715,0.027541
0.445600,0.399166
0.603833,-0.409019
0.414575,-0.216213
-0.089597,0.495070
0.259445,0.441124
0.594525,0.162405
0.867553,-0.270159
0.279612,-0.127303
-0.159405,0.247319
0.718629,0.070498
0.563499,0.035533
0.340112,0.041527
-0.038404,-0.220209
0.414575,-0.112318
0.512306,0.225342
0.243932,0.135432
0.253240,0.052516
0.464216,-0.112318
0.310638,-0.009422
0.442498,0.071497
0.335458,0.007561
0.563499,-0.116314
0.236175,0.310256
0.315291,0.005563
-0.153200,-0.058372
0.690705,-0.374054
0.610038,-0.052378
0.501447,0.012556
-0.047712,0.157410
0.302881,0.016552
0.287368,0.211356
0.178777,0.093475
0.281163,-0.106324
0.264099,0.110457
0.116725,0.037531
0.059327,-0.033398
0.051571,-0.080350
0.138444,0.007561
0.340112,0.123444
0.315291,-0.014417
0.023648,-0.020411
-0.216804,-0.063367
0.262547,-0.244185
0.284266,0.441124
-0.080289,0.101466
-0.122174,0.077491
0.307535,-0.203226
0.544884,-0.192237
0.087251,0.013555
-0.264894,0.419146
0.110520,0.166401
-0.035302,-0.022409
-0.002724,-0.025406
0.237727,-0.138292
-0.002724,0.120447
0.073289,0.197370
0.184983,-0.023408
0.157059,-0.024407
0.045366,0.099468
0.085699,-0.016415
0.163264,0.079489
0.124482,0.007561
0.212906,-0.072358
-0.080289,-0.000431
-0.146995,0.165402
0.020545,0.156411
0.265650,0.001567
0.298227,-0.021410
-0.143893,-0.032399
0.158610,-0.223206
0.253240,-0.106324
-0.007378,0.116451
-0.333151,-0.138292
-0.136136,-0.173257
-0.125277,0.073495
0.088802,0.033535
-0.010481,0.155412
0.005032,-0.000431
-0.041507,-0.041390
0.054674,-0.162268
-0.063225,0.003565
0.225316,-0.028403
-0.089597,-0.011420
-0.100456,0.081487
-0.148546,0.129438
0.032955,-0.190239
0.130687,-0.207222
0.076392,-0.074356
-0.227663,0.022546
-0.361074,-0.072358
-0.159405,-0.262167
-0.064776,-0.159271
0.144649,-0.014417
-0.171816,-0.078352
-0.308330,-0.082348
-0.233868,-0.107323
-0.336253,0.043525
-0.236970,-0.089341
-0.243176,-0.066364
-0.164059,0.049519
-0.063225,-0.156274
-0.145444,0.016552
-0.041507,0.049519
-0.275753,-0.110320
-0.246278,-0.176254
0.133790,-0.122308
